Abkhazian,Northwest Caucasian,Cyrillic
Afar,Cushitic,Latin
Afrikaans,West Germanic,Latin
Akan,Kwa,Latin
Albanian,Paleo-Balkan,Latin
Amharic,Semitic,Latin
Arabic,Semitic,Arabic
Aragonese,Romance,Latin
Armenian,Armenic,Armenian
Assamese,Indo-Aryan,Eastern Nagari
Avar,Northeast Caucasian,Cyrillic
Avestan,Iranian,Avestan
Aymara,Aymaran,Latin
Azerbaijani,Oghuz,Latin
Bambara,Mande,Latin
Bashkir,Turkic,Cyrillic
Basque,Isolate,Latin
Belarusian,Slavic,Cyrillic
Bengali,Indo-Aryan,Bengali
Bislama,English Creole,Latin
Bosnian,Slavic,Latin
Breton,Celtic,Latin
Bulgarian,Slavic,Cyrillic
Burmese,Lolo-Burmese,Mon-Burmese
Catalan,Romance,Latin
Chamorro,Malayo-Polynesian,Latin
Chechen,Northeast Caucasian,Cyrillic
Chewa,Bantu,Latin
Mandarin,Chinese,Chinese
Church Slavonic,Slavic,Cyrillic
Chuvash,Turkic,Cyrillic
Cornish,Celtic,Latin
Corsican,Romance,Latin
Cree,Algonquian,Latin|Cree
Croatian,Slavic,Latin
Czech,Slavic,Latin
Danish,North Germanic,Latin
Dhivehi,Indo-Aryan,Thaana
Dutch,West Germanic,Latin
Dzongkha,Tibetic,Tibetan
English,West Germanic,Latin
Esperanto,Constructed,Latin
Estonian,Finnic,Latin
Ewe,Kwa,Latin
Faroese,North Germanic,Latin
Fijian,Malayo-Polynesian,Latin
Finnish,Finnic,Latin
French,Roamnce,Latin
West Frisian,West Germanic,Latin
Fula,West Atlantic,Latin
Scottish Gaelic,Celtic,Latin
Galician,Romance,Latin
Luganda,Bantu,Latin
Georgian,Kartvelian,Latin
German,West Germanic,Latin
Greek,Hellenic,Latin
Greenlandic,Eskimo-Aleut,Latin
Guarani,Tupian,Latin
Gujarati,Indo-Aryan,Gujarati
Haitian Creole,French Creole,Latin
Hausa,Chadic,Latin
Hebrew,Semitic,Hebrew
